,0
584,[Tc+4]
585,[I-1]
586,[\13CH3]
587,[C@]
588,[Cl+1]
589,[SnH6+3]
590,[Eu+3]
591,[=15NH2+1]
592,[\13CH1]
593,[Lu+3]
594,[SiH4+1]
595,[/13CH1]
596,[\30Si]
597,[=29Si]
598,[13CH4]
599,[AsH3]
600,[AlH4-1]
601,[InH2]
602,[#Cr]
603,[33SH3+1]
604,[13C+1]
605,[#Sm]
606,[=C-1]
607,[P+1]
608,[=Cu]
609,[=Sr]
610,[OH3+1]
611,[\C]
612,[Ir]
613,[#W+1]
614,[=P]
615,[NH2-1]
616,[=C+1]
617,[29SiH1]
618,[K+1]
619,[PH1+1]
620,[nop]
621,[\N+1]
622,[13CH1]
623,[=S+1]
624,[BiH2]
625,[Pt+2]
626,[15NH2+1]
627,[#B]
628,[=18OH1+1]
629,[La+3]
630,[54Fe+1]
631,[#13C+1]
632,[30SiH4]
633,[=37Cl+1]
